Year,State,Total,Type,By Weapon
1991,National,21676,Firearms,14373
1991,National,21676,Cutting,3430
1991,National,21676,Unarmed,1202
1991,National,21676,Other,2671
1992,National,22716,Firearms,15489
1992,National,22716,Cutting,3296
1992,National,22716,Unarmed,1131
1992,National,22716,Other,2800
1993,National,23180,Firearms,16136
1993,National,23180,Cutting,2967
1993,National,23180,Unarmed,1151
1993,National,23180,Other,2926
1994,National,22084,Firearms,15463
1994,National,22084,Cutting,2802
1994,National,22084,Unarmed,1165
1994,National,22084,Other,2654
1995,National,20232,Firearms,13790
1995,National,20232,Cutting,2557
1995,National,20232,Unarmed,1201
1995,National,20232,Other,2684
1996,National,16967,Firearms,11453
1996,National,16967,Cutting,2324
1996,National,16967,Unarmed,1037
1996,National,16967,Other,2153
1997,National,15837,Firearms,10729
1997,National,15837,Cutting,2055
1997,National,15837,Unarmed,1010
1997,National,15837,Other,2043
1998,National,14088,Firearms,9143
1998,National,14088,Cutting,1877
1998,National,14088,Unarmed,949
1998,National,14088,Other,2119
1999,National,12658,Firearms,8259
1999,National,12658,Cutting,1667
1999,National,12658,Other,1881
1999,National,12658,Unarmed,851
2000,National,12943,Firearms,8493
2000,National,12943,Cutting,1743
2000,National,12943,Other,1815
2000,National,12943,Unarmed,892
2001,National,13752,Firearms,8719
2001,National,13752,Cutting,1796
2001,National,13752,Other,2313
2001,National,13752,Unarmed,924
2002,National,14054,Firearms,9369
2002,National,14054,Cutting,1767
2002,National,14054,Other,1989
2002,National,14054,Unarmed,929
2003,National,14408,Firearms,9638
2003,National,14408,Cutting,1816
2003,National,14408,Other,2010
2003,National,14408,Unarmed,944
2004,Alabama,247,Firearms,158
2004,Alabama,247,Cutting,24
2004,Alabama,247,Other,44
2004,Alabama,247,Unarmed,21
2004,Alaska,37,Firearms,17
2004,Alaska,37,Cutting,4
2004,Alaska,37,Other,12
2004,Alaska,37,Unarmed,4
2004,Arizona,409,Firearms,295
2004,Arizona,409,Cutting,44
2004,Arizona,409,Other,45
2004,Arizona,409,Unarmed,25
2004,Arkansas,152,Firearms,95
2004,Arkansas,152,Cutting,19
2004,Arkansas,152,Other,31
2004,Arkansas,152,Unarmed,7
2004,California,2391,Firearms,1724
2004,California,2391,Cutting,281
2004,California,2391,Other,242
2004,California,2391,Unarmed,144
2004,Colorado,199,Firearms,116
2004,Colorado,199,Cutting,32
2004,Colorado,199,Other,17
2004,Colorado,199,Unarmed,34
2004,Connecticut,86,Firearms,47
2004,Connecticut,86,Cutting,16
2004,Connecticut,86,Other,18
2004,Connecticut,86,Unarmed,5
2004,Delaware,14,Firearms,9
2004,Delaware,14,Cutting,3
2004,Delaware,14,Other,1
2004,Delaware,14,Unarmed,1
2004,Georgia,528,Firearms,342
2004,Georgia,528,Cutting,70
2004,Georgia,528,Other,69
2004,Georgia,528,Unarmed,47
2004,Hawaii,31,Firearms,6
2004,Hawaii,31,Cutting,13
2004,Hawaii,31,Other,5
2004,Hawaii,31,Unarmed,7
2004,Idaho,30,Firearms,17
2004,Idaho,30,Cutting,5
2004,Idaho,30,Other,6
2004,Idaho,30,Unarmed,2
2004,Illinois,448,Firearms,337
2004,Illinois,448,Cutting,37
2004,Illinois,448,Other,64
2004,Illinois,448,Unarmed,10
2004,Indiana,299,Firearms,208
2004,Indiana,299,Cutting,37
2004,Indiana,299,Other,39
2004,Indiana,299,Unarmed,15
2004,Iowa,40,Firearms,19
2004,Iowa,40,Cutting,9
2004,Iowa,40,Other,5
2004,Iowa,40,Unarmed,7
2004,Kansas,75,Firearms,45
2004,Kansas,75,Cutting,6
2004,Kansas,75,Other,22
2004,Kansas,75,Unarmed,2
2004,Kentucky,217,Firearms,136
2004,Kentucky,217,Cutting,25
2004,Kentucky,217,Other,43
2004,Kentucky,217,Unarmed,13
2004,Louisiana,557,Firearms,442
2004,Louisiana,557,Cutting,44
2004,Louisiana,557,Other,50
2004,Louisiana,557,Unarmed,21
2004,Maine,17,Firearms,9
2004,Maine,17,Cutting,4
2004,Maine,17,Other,1
2004,Maine,17,Unarmed,3
2004,Maryland,520,Firearms,386
2004,Maryland,520,Cutting,57
2004,Maryland,520,Other,47
2004,Maryland,520,Unarmed,30
2004,Massachusetts,167,Firearms,97
2004,Massachusetts,167,Cutting,37
2004,Massachusetts,167,Other,27
2004,Massachusetts,167,Unarmed,6
2004,Michigan,638,Firearms,456
2004,Michigan,638,Cutting,68
2004,Michigan,638,Other,79
2004,Michigan,638,Unarmed,35
2004,Minnesota,110,Firearms,73
2004,Minnesota,110,Cutting,19
2004,Minnesota,110,Other,7
2004,Minnesota,110,Unarmed,11
2004,Mississippi,175,Firearms,124
2004,Mississippi,175,Cutting,22
2004,Mississippi,175,Other,22
2004,Mississippi,175,Unarmed,7
2004,Missouri,353,Firearms,243
2004,Missouri,353,Cutting,37
2004,Missouri,353,Other,68
2004,Missouri,353,Unarmed,5
2004,Montana,23,Firearms,11
2004,Montana,23,Cutting,7
2004,Montana,23,Other,1
2004,Montana,23,Unarmed,4
2004,Nebraska,27,Firearms,17
2004,Nebraska,27,Cutting,3
2004,Nebraska,27,Other,4
2004,Nebraska,27,Unarmed,3
2004,Nevada,172,Firearms,110
2004,Nevada,172,Cutting,24
2004,Nevada,172,Other,30
2004,Nevada,172,Unarmed,8
2004,New Hampshire,13,Firearms,4
2004,New Hampshire,13,Cutting,3
2004,New Hampshire,13,Other,4
2004,New Hampshire,13,Unarmed,2
2004,New Jersey,391,Firearms,230
2004,New Jersey,391,Cutting,69
2004,New Jersey,391,Other,56
2004,New Jersey,391,Unarmed,36
2004,New Mexico,150,Firearms,75
2004,New Mexico,150,Cutting,28
2004,New Mexico,150,Other,29
2004,New Mexico,150,Unarmed,18
2004,New York,864,Firearms,500
2004,New York,864,Cutting,173
2004,New York,864,Other,123
2004,New York,864,Unarmed,68
2004,North Carolina,477,Firearms,284
2004,North Carolina,477,Cutting,67
2004,North Carolina,477,Other,84
2004,North Carolina,477,Unarmed,42
2004,North Dakota,8,Firearms,4
2004,North Dakota,8,Cutting,0
2004,North Dakota,8,Other,3
2004,North Dakota,8,Unarmed,1
2004,Ohio,464,Firearms,245
2004,Ohio,464,Cutting,57
2004,Ohio,464,Other,113
2004,Ohio,464,Unarmed,49
2004,Oklahoma,186,Firearms,106
2004,Oklahoma,186,Cutting,32
2004,Oklahoma,186,Other,27
2004,Oklahoma,186,Unarmed,21
2004,Oregon,90,Firearms,48
2004,Oregon,90,Cutting,19
2004,Oregon,90,Other,19
2004,Oregon,90,Unarmed,4
2004,Pennsylvania,632,Firearms,449
2004,Pennsylvania,632,Cutting,54
2004,Pennsylvania,632,Other,111
2004,Pennsylvania,632,Unarmed,18
2004,Rhode Island,26,Firearms,16
2004,Rhode Island,26,Cutting,3
2004,Rhode Island,26,Other,3
2004,Rhode Island,26,Unarmed,4
2004,South Carolina,287,Firearms,194
2004,South Carolina,287,Cutting,38
2004,South Carolina,287,Other,38
2004,South Carolina,287,Unarmed,17
2004,South Dakota,16,Firearms,5
2004,South Dakota,16,Cutting,4
2004,South Dakota,16,Other,7
2004,South Dakota,16,Unarmed,0
2004,Tennessee,350,Firearms,221
2004,Tennessee,350,Cutting,48
2004,Tennessee,350,Other,53
2004,Tennessee,350,Unarmed,28
2004,Texas,1362,Firearms,882
2004,Texas,1362,Cutting,211
2004,Texas,1362,Other,179
2004,Texas,1362,Unarmed,90
2004,Utah,21,Firearms,12
2004,Utah,21,Cutting,2
2004,Utah,21,Other,6
2004,Utah,21,Unarmed,1
2004,Vermont,16,Firearms,3
2004,Vermont,16,Cutting,7
2004,Vermont,16,Other,6
2004,Vermont,16,Unarmed,0
2004,Virginia,390,Firearms,270
2004,Virginia,390,Cutting,44
2004,Virginia,390,Other,61
2004,Virginia,390,Unarmed,15
2004,Washington,189,Firearms,106
2004,Washington,189,Cutting,29
2004,Washington,189,Other,35
2004,Washington,189,Unarmed,19
2004,West Virginia,62,Firearms,31
2004,West Virginia,62,Cutting,8
2004,West Virginia,62,Other,18
2004,West Virginia,62,Unarmed,5
2004,Wisconsin,154,Firearms,99
2004,Wisconsin,154,Cutting,20
2004,Wisconsin,154,Other,18
2004,Wisconsin,154,Unarmed,17
2004,Wyoming,11,Firearms,3
2004,Wyoming,11,Cutting,3
2004,Wyoming,11,Other,4
2004,Wyoming,11,Unarmed,1
2005,Alabama,326,Firearms,223
2005,Alabama,326,Cutting,25
2005,Alabama,326,Other,62
2005,Alabama,326,Unarmed,16
